batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Dwayne Smith,10,16,1,0,62.50,b Mohammad Nawaz,2017,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Dwayne Smith,71,51,4,5,139.21,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Dwayne Smith,29,22,0,3,131.81,c †Sangakkara b Usama Mir,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Dwayne Smith,23,14,4,1,164.28,b Mohammad Nawaz,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Dwayne Smith,72,59,6,4,122.03,not out,2017,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Dwayne Smith,20,17,2,1,117.64,lbw b Yasir Shah,2017,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Dwayne Smith,0,3,0,0,0.00,c Mohammad Nawaz b Zulfiqar Babar,2017,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Dwayne Smith,18,20,3,0,90.00,c Bravo b Pollard,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Dwayne Smith,49,36,7,1,136.11,c Pollard b Usman Shinwari,2017,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Dwayne Smith,8,11,1,0,72.72,c †Sangakkara b Mohammad Amir,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Dwayne Smith,11,7,2,0,157.14,c †Mohammad Rizwan b Zia-ul-Haq,2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Dwayne Smith,8,9,1,0,88.88,b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Dwayne Smith,50,48,7,1,104.16,not out,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Dwayne Smith,49,33,1,5,148.48,c Pietersen b Watson,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Dwayne Smith,19,37,0,0,51.35,lbw b Tait,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Dwayne Smith,73,51,7,4,143.13,c Pietersen b Zulfiqar Babar,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Dwayne Smith,15,16,0,2,93.75,c Babar Azam b Shahid Afridi,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Dwayne Smith,14,12,3,0,116.66,b Yasir Shah,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Dwayne Smith,11,9,2,0,122.22,not out,2019,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Dwayne Smith,2,3,0,0,66.66,run out (Fakhar Zaman),2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Dwayne Smith,9,15,0,0,60.00,c Livingstone b Mohammad Amir,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
Mohammad Hafeez,59,52,6,1,113.46,c Sohaib Maqsood b Junaid Khan,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Mohammad Hafeez,0,1,0,0,0.00,c Sharjeel Khan b Mohammad Irfan,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,0,4,0,0,0.00,lbw b Mohammad Amir,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Mohammad Hafeez,11,9,2,0,122.22,c †Billings b Watson,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,30,22,3,0,136.36,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,43,37,3,3,116.21,st †Mohammad Rizwan b Mendis,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mohammad Hafeez,3,11,0,0,27.27,st †Mohammad Rizwan b Narine,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mohammad Hafeez,7,16,1,0,43.75,c Imad Wasim b Shahid Afridi,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Mohammad Hafeez,10,10,0,0,100.00,c Chigumbura b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,16,19,2,0,84.21,c Hassan Khan b Mahmudullah,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,29,34,2,1,85.29,c Hassan Khan b Hastings,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,59,35,7,3,168.57,lbw b Bopara,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
