batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Hazratullah Zazai,20,16,3,0,125.00,c & b Mohammad Hafeez,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Usman Khawaja (c),105,56,13,3,187.50,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Brandon King,46,22,5,3,209.09,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Brandon King,5,7,1,0,71.42,b Usman Qadir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Brandon King,18,16,1,1,112.50,c Umaid Asif b Amad Butt,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Blessing Muzarabani,0,3,0,0,0.00,b Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars
Blessing Muzarabani,0,2,0,0,0.00,c Hussain Talat b Mohammad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Blessing Muzarabani,0,2,0,0,0.00,b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Tom Lammonby,1,2,0,0,50.00,b Imran Tahir,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Tom Lammonby,3,3,0,0,100.00,c Iftikhar Ahmed b Naseem Shah,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Tom Lammonby,0,1,0,0,0.00,b Khurram Shahzad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
Usman Qadir,4,5,1,0,80.00,c †Muhammad Akhlaq b Faheem Ashraf,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Usman Qadir,7,2,0,1,350.00,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
Usman Qadir,12,10,0,1,120.00,c †Mohammad Rizwan b Shahnawaz Dahani,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Usman Qadir,7,5,1,0,140.00,run out (Curran),2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Usman Qadir,0,0,0,0,-,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Usman Qadir,6,3,1,0,200.00,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Mohammad Umar,0,1,0,0,0.00,c Asif Ali b Mohammad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Mohammad Umar,3,8,0,0,37.50,c †Mohammad Rizwan b Muzarabani,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Mohammad Umar,0,2,0,0,0.00,c †Mohammad Rizwan b Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
Mohammad Umar,1,2,0,0,50.00,not out,2023,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Will Smeed,97,62,11,4,156.45,c Brown b Sameen Gul,2022,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Will Smeed,30,35,3,1,85.71,c Lammonby b Mohammad Imran,2022,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Will Smeed,3,5,0,0,60.00,c & b Khushdil Shah,2022,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
Will Smeed,17,11,1,1,154.54,b Abrar Ahmed,2023,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Will Smeed,32,25,6,0,128.00,lbw b Rashid Khan,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Will Smeed,99,60,12,3,165.00,b Salman Irshad,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Will Smeed,0,1,0,0,0.00,lbw b Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
Will Smeed,1,2,0,0,50.00,lbw b Willey,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Multan Sultans
Will Smeed,26,22,1,2,118.18,c Mohammad Haris b Mujeeb Ur Rahman,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Will Smeed,10,11,2,0,90.90,c Gregory b Usman Shinwari,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Karachi Kings
Tom Kohler-Cadmore †,22,16,3,1,137.50,c Mohammad Hasnain b Mohammad Nawaz,2022,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Tom Kohler-Cadmore †,0,3,0,0,0.00,b Hasan Ali,2022,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Yasir Khan,30,12,4,2,250.00,c Iftikhar Ahmed b Mohammad Nawaz,2022,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Yasir Khan,14,9,3,0,155.55,c Shadab Khan b Faheem Ashraf,2022,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Yasir Khan,8,11,0,0,72.72,c Hales b Imad Wasim,2024,Multan Cricket Stadium,Multan Sultans,Islamabad United
Yasir Khan,8,13,1,0,61.53,st †Sahibzada Farhan b Linde,2024,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
Yasir Khan,43,37,6,0,116.21,c †Mohammad Haris b Salman Irshad,2024,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
Yasir Khan,14,15,2,0,93.33,c †Billings b Haris Rauf,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Yasir Khan,5,11,0,0,45.45,c Shadab Khan b Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
Yasir Khan,35,24,3,2,145.83,c Faheem Ashraf b Zahir Khan,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Yasir Khan,8,12,1,0,66.66,c Dawson b Hasan Ali,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Yasir Khan,33,16,4,2,206.25,b Hunain Shah,2024,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Yasir Khan,12,11,2,0,109.09,c †Evans b Mohammad Amir,2024,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Yasir Khan,54,37,7,1,145.94,c & b Mehran Mumtaz,2024,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Yasir Khan,6,6,1,0,100.00,c Mills b Imad Wasim,2024,"National Stadium, Karachi",Multan Sultans,Islamabad United
Mirza Baig,32,26,5,0,123.07,c Usama Mir b Hosein,2023,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Mirza Baig,45,39,3,2,115.38,c †Wade b Akif Javed,2023,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mirza Baig,31,15,4,2,206.66,c Guptill b Mohammad Nawaz,2023,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Mirza Baig,5,7,1,0,71.42,b Wahab Riaz,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Mirza Baig,20,17,2,1,117.64,b Shadab Khan,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Mirza Baig,2,7,0,0,28.57,c & b Umaid Asif,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Mirza Baig,17,11,3,0,154.54,c †Mohammad Rizwan b Ihsanullah,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Mirza Baig,8,9,0,1,88.88,c †Mohammad Rizwan b Cottrell,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Mirza Baig,54,42,7,2,128.57,c †Haseebullah Khan b Aamer Jamal,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Mirza Baig,30,18,5,1,166.66,c Khushdil Shah b Ihsanullah,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Mirza Baig,4,7,0,0,57.14,c Irfan Khan b Anwar Ali,2024,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mirza Baig,12,13,0,1,92.30,c Mohammad Wasim b Abrar Ahmed,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Shai Hope †,19,17,1,1,111.76,c Pollard b Usama Mir,2023,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Shai Hope †,1,2,0,0,50.00,c Irfan Khan b Mohammad Amir,2023,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Shai Hope †,47,32,5,1,146.87,c Iftikhar Ahmed b Smith,2023,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Shai Hope †,21,13,2,1,161.53,c Shoaib Malik b Shamsi,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Shai Hope †,29,23,1,1,126.08,b Salman Irshad,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Shai Hope †,9,11,1,0,81.81,c Shoaib Malik b Zahid Mahmood,2024,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Shai Hope †,5,7,0,0,71.42,c †Evans b Mohammad Wasim,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Akeal Hosein,0,0,0,0,-,not out,2023,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
Akeal Hosein,9,9,0,0,100.00,not out,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Akeal Hosein,2,3,0,0,66.66,c Cutting b Imad Wasim,2023,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Akeal Hosein,8,2,0,1,400.00,run out (Hunain Shah/Munro/Agha Salman),2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Akeal Hosein,9,13,0,0,69.23,not out,2024,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Akeal Hosein,22,17,1,1,129.41,not out,2024,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Akeal Hosein,14,13,0,1,107.69,c Pollard b Hasan Ali,2024,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings
Akeal Hosein,14,14,2,0,100.00,c Mohammad Haris b Wood,2024,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Akeal Hosein,6,6,1,0,100.00,c †Mohammad Rizwan b Abbas Afridi,2024,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
Akeal Hosein,31,18,2,3,172.22,run out (Agha Salman/†Azam Khan),2024,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Abdullah Shafique,24,22,3,0,109.09,c Khushdil Shah b Imran Tahir,2022,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Abdullah Shafique,8,8,1,0,100.00,c Aamer Yamin b Mohammad Nabi,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Abdullah Shafique,41,31,3,2,132.25,c Hazratullah Zazai b Usman Qadir,2022,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Abdullah Shafique,44,24,6,1,183.33,b Shadab Khan,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Abdullah Shafique,28,22,0,3,127.27,b Mills,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Abdullah Shafique,32,27,1,2,118.51,run out (Mohammad Nawaz/†Sarfaraz Ahmed),2022,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Abdullah Shafique,11,10,0,1,110.00,c †Sarfaraz Ahmed b Hosein,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Abdullah Shafique,4,3,1,0,133.33,lbw b Anwar Ali,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,75,41,5,5,182.92,c Neesham b Wahab Riaz,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Abdullah Shafique,45,24,4,2,187.50,c Rahmanullah Gurbaz b Curran,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Abdullah Shafique,6,7,0,0,85.71,not out,2024,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Abdullah Shafique,19,20,3,0,95.00,c Iftikhar Ahmed b Ghulam Mudassar,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Abdullah Shafique,15,14,1,1,107.14,b Mohammad Nawaz,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Abdullah Shafique,48,35,6,1,137.14,c & b Pollard,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,7,12,1,0,58.33,c Powell b Azmatullah Omarzai,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Abdullah Shafique,8,12,1,0,66.66,c Qasim Akram b Mir Hamza,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Abdullah Shafique,1,2,0,0,50.00,c Hales b Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Abdullah Shafique,5,8,1,0,62.50,lbw b Asif Afridi,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,2,6,0,0,33.33,c Tayyab Tahir b Akif Javed,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Abdullah Shafique,0,2,0,0,0.00,lbw b Cottrell,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,52,28,4,3,185.71,c Shadab Khan b Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Abdullah Shafique,14,13,2,0,107.69,st †Mohammad Rizwan b Asif Afridi,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,10,10,0,0,100.00,run out (Babar Azam/†Haseebullah Khan),2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Abdullah Shafique,65,40,8,2,162.50,c Rossouw b Anwar Ali,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Abdullah Shafique,55,39,5,1,141.02,c Anwar Ali b Muzarabani,2024,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Abdullah Shafique,59,39,3,2,151.28,not out,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
David Willey,0,0,0,0,-,not out,2022,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
David Willey,0,0,0,0,-,not out,2022,"National Stadium, Karachi",Multan Sultans,Islamabad United
David Willey,7,6,1,0,116.66,not out,2024,Multan Cricket Stadium,Multan Sultans,Islamabad United
David Willey,25,23,1,1,108.69,lbw b Shaheen Shah Afridi,2024,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
David Willey,0,1,0,0,0.00,c sub (DR Mousley) b Arif Yaqoob,2024,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
David Willey,28,32,1,1,87.50,not out,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
David Willey,0,1,0,0,0.00,b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
David Willey,6,3,0,1,200.00,b Imad Wasim,2024,"National Stadium, Karachi",Multan Sultans,Islamabad United
Mohammad Haris †,10,5,2,0,200.00,lbw b Mir Hamza,2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Mohammad Haris †,40,23,1,4,173.91,run out (Abbas Afridi),2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Mohammad Haris †,18,9,4,0,200.00,c Roy b Mohammad Hasnain,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Mohammad Haris †,40,21,4,1,190.47,c & b Shadab Khan,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Mohammad Haris †,7,6,1,0,116.66,c Roy b Hosein,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Mohammad Haris †,0,2,0,0,0.00,b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Mohammad Haris †,6,7,1,0,85.71,c Pollard b Mir Hamza,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Mohammad Haris †,49,27,3,4,181.48,b Mohammad Nabi,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Mohammad Haris †,19,19,1,0,100.00,c Usama Mir b Mohammad Ali,2024,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Mohammad Haris †,29,17,6,0,170.58,c & b Ghulam Mudassar,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Mohammad Haris †,70,32,7,5,218.75,c Muhammad Musa b Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Mohammad Haris †,1,4,0,0,25.00,c Imad Wasim b Rumman Raees,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Haris †,12,8,2,0,150.00,c Asif Ali b Faheem Ashraf,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Mohammad Haris †,13,11,2,0,118.18,c Arafat Minhas b Hasan Ali,2024,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Mohammad Haris †,22,14,4,0,157.14,c †Mohammad Rizwan b Mohammad Ali,2024,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Mohammad Haris †,40,25,3,2,160.00,c Shadab Khan b Naseem Shah,2024,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Bhanuka Rajapaksa,6,6,0,0,100.00,c Cutting b Tye,2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Bhanuka Rajapaksa,1,3,0,0,33.33,c Pollard b Usama Mir,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Bhanuka Rajapaksa,24,14,3,1,171.42,c Wiese b Zaman Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Bhanuka Rajapaksa,41,25,4,2,164.00,c Munro b Shadab Khan,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
Bhanuka Rajapaksa,25,18,4,0,138.88,not out,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
James Neesham,16,11,1,0,145.45,not out,2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
James Neesham,12,9,1,1,133.33,c Shan Masood b Abbas Afridi,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
James Neesham,38,23,4,2,165.21,c Mohammad Nawaz b Qais Ahmad,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
James Neesham,6,8,0,0,75.00,c †Azam Khan b Hasan Ali,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
James Neesham,12,8,0,1,150.00,c †Billings b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
James Neesham,1,2,0,0,50.00,c Fazalhaq Farooqi b Hasan Ali,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
James Neesham,2,5,0,0,40.00,c Mubasir Khan b Fazalhaq Farooqi,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
Matthew Wade †,23,15,3,1,153.33,c Kohler-Cadmore b Neesham,2023,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Matthew Wade †,18,18,2,0,100.00,c †Azam Khan b Mohammad Wasim,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
Matthew Wade †,15,19,2,0,78.94,b Mohammad Hasnain,2023,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Matthew Wade †,36,24,4,1,150.00,run out (Kamran Ghulam/†Hope),2023,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Matthew Wade †,20,14,3,1,142.85,lbw b Usama Mir,2023,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Matthew Wade †,46,47,4,0,97.87,b Ihsanullah,2023,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Mohammad Taha,6,9,0,0,66.66,c sub (L Wood) b Mohammad Nawaz,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Mohammad Taha,0,2,0,0,0.00,lbw b Shadab Khan,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
Jonathan Wells,55,43,6,3,127.90,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Jonathan Wells,6,13,0,0,46.15,run out (Rossouw/Sohail Tanvir),2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Abdul Bangalzai,1,6,0,0,16.66,c Pollard b Abbas Afridi,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Abdul Bangalzai,0,3,0,0,0.00,st †Wade b Imad Wasim,2023,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Abdul Bangalzai,14,13,0,1,107.69,c †Azam Khan b Hasan Ali,2022,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Abdul Bangalzai,0,1,0,0,0.00,lbw b Shaheen Shah Afridi,2023,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Nuwan Thushara,0,3,0,0,0.00,not out,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Irfan Khan,19,11,0,2,172.72,c †Azam Khan b Curran,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
Irfan Khan,37,26,1,3,142.30,not out,2023,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Irfan Khan,1,2,0,0,50.00,not out,2023,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Irfan Khan,1,1,0,0,100.00,not out,2023,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Irfan Khan,4,6,0,0,66.66,c Powell b Mujeeb Ur Rahman,2023,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
Irfan Khan,12,10,1,0,120.00,not out,2024,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Irfan Khan,30,20,4,0,150.00,c van der Dussen b Curran,2023,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Irfan Khan,27,22,4,0,122.72,not out,2024,"National Stadium, Karachi",Karachi Kings,Islamabad United
Irfan Khan,15,10,1,1,150.00,c Roy b Mohammad Wasim,2024,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Irfan Khan,23,19,2,1,121.05,c †Usman Khan b Willey,2024,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Irfan Khan,4,6,0,0,66.66,not out,2024,Rawalpindi Cricket Stadium,Karachi Kings,Quetta Gladiators
Irfan Khan,0,2,0,0,0.00,c Hussain Talat b Zaman Khan,2023,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Irfan Khan,16,13,1,1,123.07,c Faheem Ashraf b Mills,2024,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Irfan Khan,35,16,6,0,218.75,b Shaheen Shah Afridi,2024,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Irfan Khan,39,26,7,0,150.00,not out,2024,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
James Fuller,12,5,2,0,240.00,not out,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
James Fuller,5,6,1,0,83.33,b Naseem Shah,2023,Rawalpindi Cricket Stadium,Karachi Kings,Quetta Gladiators
James Fuller,10,5,1,0,200.00,not out,2023,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Andrew Tye,1,1,0,0,100.00,not out,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
Hasan Nawaz,7,7,1,0,100.00,c †Wade b Mohammad Amir,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
Hasan Nawaz,21,16,2,1,131.25,c Usama Mir b Mohammad Ilyas,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Hasan Nawaz,0,5,0,0,0.00,c Salman Irshad b Khurram Shahzad,2023,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Rassie van der Dussen,31,25,4,1,124.00,b Imad Wasim,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
Rassie van der Dussen,49,32,5,1,153.12,c Khushdil Shah b Abbas Afridi,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Rassie van der Dussen,71,41,4,3,173.17,not out,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Rassie van der Dussen,42,29,6,0,144.82,run out (Shanaka),2023,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Rassie van der Dussen,1,4,0,0,25.00,b Mohammad Hasnain,2023,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Rassie van der Dussen,15,16,2,0,93.75,b Abrar Ahmed,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Rassie van der Dussen,3,6,0,0,50.00,c sub (Ahsan Bhatti) b Haris Rauf,2023,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Rassie van der Dussen,54,37,4,2,145.94,c †Mohammad Rizwan b Usama Mir,2024,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Rassie van der Dussen,26,23,3,0,113.04,lbw b Shamsi,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Rassie van der Dussen,22,20,1,0,110.00,b Shamsi,2023,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Rassie van der Dussen,104,52,7,6,200.00,not out,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Rassie van der Dussen,30,22,1,1,136.36,c Mohammad Rizwan b Usama Mir,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Rassie van der Dussen,64,44,4,4,145.45,lbw b Rumman Raees,2024,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Azam Khan †,44,28,6,1,157.14,c Haider Ali b Muhammad Musa,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
Azam Khan †,12,12,1,0,100.00,c Anwar Ali b Khushdil Shah,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
Azam Khan †,16,14,2,1,114.28,b Abbas Afridi,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Azam Khan †,65,35,2,6,185.71,b Shahid Afridi,2022,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Azam Khan †,10,12,1,0,83.33,not out,2022,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
Azam Khan †,16,7,2,1,228.57,c †Sahibzada Farhan b Umaid Asif,2022,"National Stadium, Karachi",Islamabad United,Karachi Kings
Azam Khan †,9,6,0,1,150.00,not out,2023,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Azam Khan †,97,42,9,8,230.95,b Smith,2023,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Azam Khan †,13,10,1,1,130.00,c Willey b Usama Mir,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
Azam Khan †,0,1,0,0,0.00,run out (Shahid Afridi),2022,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Azam Khan †,4,7,0,0,57.14,lbw b Wiese,2023,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Azam Khan †,1,4,0,0,25.00,c Rossouw b Hosein,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
